code,name,description,refreshed_at,from_date,to_date
WIKANA,"Stock Prices for WIKANA, ISIN PLELPO000016, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: WIKANA<br><br>ISIN: PLELPO000016<br><br>Currency: PLN,2020-04-24 18:30:34,2007-12-07,2020-04-24
WILBO,"Stock Prices for WILBO, ISIN PLWILBO00019, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: WILBO<br><br>ISIN: PLWILBO00019<br><br>Currency: PLN,2019-11-28 18:31:06,1998-01-08,2019-11-28
WINDMOBIL,"Stock Prices for WINDMOBIL, ISIN PLWNDMB00010, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: WINDMOBIL<br><br>ISIN: PLWNDMB00010<br><br>Currency: PLN,2016-09-07 18:52:35,2015-09-25,2015-11-05
WINVEST,"Stock Prices for WINVEST, ISIN PLARIEL00046, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: WINVEST<br><br>ISIN: PLARIEL00046<br><br>Currency: PLN,2020-04-24 18:30:34,2013-07-29,2020-04-24
WIRTUALNA,"Stock Prices for WIRTUALNA, ISIN PLWRTPL00027, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: WIRTUALNA<br><br>ISIN: PLWRTPL00027<br><br>Currency: PLN,2020-04-24 18:30:34,2015-05-07,2020-04-24
WISTIL,"Stock Prices for WISTIL, ISIN PLWSTIL00012, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: WISTIL<br><br>ISIN: PLWSTIL00012<br><br>Currency: PLN,2018-12-20 18:30:20,1998-03-13,2018-12-20
WITTCHEN,"Stock Prices for WITTCHEN, ISIN PLWTCHN00030, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: WITTCHEN<br><br>ISIN: PLWTCHN00030<br><br>Currency: PLN,2020-04-24 18:30:34,2015-11-09,2020-04-24
WKSM,"Stock Prices for WKSM, ISIN PLWKSM000014, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: WKSM<br><br>ISIN: PLWKSM000014<br><br>Currency: PLN,2016-09-12 19:15:56,1997-08-11,2002-07-24
WOJAS,"Stock Prices for WOJAS, ISIN PLWOJAS00014, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: WOJAS<br><br>ISIN: PLWOJAS00014<br><br>Currency: PLN,2020-04-24 18:30:34,2008-05-21,2020-04-24
WOLAINFO,"Stock Prices for WOLAINFO, ISIN PLWLINF00012, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: WOLAINFO<br><br>ISIN: PLWLINF00012<br><br>Currency: PLN,2016-09-12 16:29:22,2007-12-10,2011-03-18
WOLCZANKA,"Stock Prices for WOLCZANKA, ISIN PLWLCZN00013, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: WOLCZANKA<br><br>ISIN: PLWLCZN00013<br><br>Currency: PLN,2016-09-13 15:09:40,1991-07-16,2006-09-13
WORKSERV,"Stock Prices for WORKSERV, ISIN PLWRKSR00019, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: WORKSERV<br><br>ISIN: PLWRKSR00019<br><br>Currency: PLN,2020-04-24 18:30:34,2012-05-24,2020-04-24
WSIP,"Stock Prices for WSIP, ISIN PLWSIP000015, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: WSIP<br><br>ISIN: PLWSIP000015<br><br>Currency: PLN,2016-09-12 17:17:07,2004-11-03,2010-09-01
XTB,"Stock Prices for XTB, ISIN PLXTRDM00011, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: XTB<br><br>ISIN: PLXTRDM00011<br><br>Currency: PLN,2020-04-24 18:30:34,2016-05-17,2020-04-24
XTPL,"Stock Prices for XTPL, ISIN PLXTPL000018, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: XTPL<br><br>ISIN: PLXTPL000018<br><br>Currency: PLN,2020-04-24 18:30:34,2019-02-20,2020-04-24
XTRADEBDM,"Stock Prices for XTRADEBDM, ISIN PLXTRDM00011, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: XTRADEBDM<br><br>ISIN: PLXTRDM00011<br><br>Currency: PLN,2016-09-07 18:43:06,2016-05-06,2016-05-16
YAWAL,"Stock Prices for YAWAL, ISIN PLYAWAL00058, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: YAWAL<br><br>ISIN: PLYAWAL00058<br><br>Currency: PLN,2016-09-12 19:15:55,1998-06-26,2015-10-26
